"活動ID","建立日期","平台","頻道名稱","活動標題","貼文則數","貼文類型","貼文連結","Meta post ID","留言數","留言加購","銷售額NT$"
"613964","2025-08-22","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","CP值最高小資首選-六大寶石平替首選(T牌經典永恆套件組)FB","3","影片 / Reel","https://www.facebook.com/681888940617724/videos/759511486690070
https://www.facebook.com/681888940617724/videos/1598995354405988
https://www.facebook.com/reel/1381757089987371/","1627804834169159_1233082432165036
1627804834169159_1234032728736673
1627804834169159_1285603736912905","158","0","0"
"613959","2025-08-22","Instagram","tzgems1111","CP值最高小資首選-六大寶石平替首選(T牌經典永恆套件組)","1","Reel","https://www.instagram.com/reel/DNpa9XCv3Ij/","18066741218332057","81","0","0"
"613516","2025-08-21","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","CP值最高情人節首選-六大寶石平替首選(T牌經典永恆套件組)","1","影片","https://www.facebook.com/681888940617724/videos/1075016678168634","1627804834169159_1232357818904164","5","0","0"
"613407","2025-08-21","Instagram","tzgems1111","天然鉍晶體｜大款 / 小款","2","Reel","https://www.instagram.com/reel/DNuKqt4Xjxc/
https://www.instagram.com/reel/DPWLOYZj1w-/","18181829572333670
18371446144144126","490","0","0"
"612948","2025-08-20","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/20 13:48","2","影片 / Reel","https://www.facebook.com/681888940617724/videos/1266161061664488
https://www.facebook.com/reel/1247222757211806/","1627804834169159_1229977415808871
1627804834169159_1284634830343129","253","0","0"
"612901","2025-08-20","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","祖母綠經典婚戒・璀璨永恆的承諾 💚","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/1109099181187353
https://www.facebook.com/reel/2016954309075161/
https://www.facebook.com/reel/1101743641851441/
https://www.facebook.com/reel/1602308060767449/","1627804834169159_1231505772322702
1627804834169159_1265618675578078
1627804834169159_1309407121199233
1627804834169159_1353166286823316","166","0","0"
"612616","2025-08-19","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","珠寶等級紫水晶限量登場！💎","5","影片 / Reel","https://www.facebook.com/681888940617724/videos/1807539039870593
https://www.facebook.com/reel/1321285562912583/
https://www.facebook.com/reel/1382208396662110/
https://www.facebook.com/reel/25636006306005027/
https://www.facebook.com/reel/3974318292866304/","1627804834169159_1230613289078617
1627804834169159_1251283753678237
1627804834169159_1263863769086902
1627804834169159_1307732804699998
1627804834169159_1353164306823514","315","0","0"
"612577","2025-08-18","Instagram","tzgems1111","POST 2025/08/18 23:20 活動","1","Reel","https://www.instagram.com/reel/DNgD5dDvyx_/","18036187439462682","157","0","0"
"612412","2025-08-18","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","寵粉閨蜜藍色托帕石戒指(三色可選)","3","影片 / Reel","https://www.facebook.com/681888940617724/videos/2010320726403090
https://www.facebook.com/reel/1508264740209691/
https://www.facebook.com/reel/817972761240611/","1627804834169159_1229766345829978
1627804834169159_1264747595665186
1627804834169159_1308565247950087","11","0","0"
"612137","2025-08-17","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/17 13:44","1","影片","https://www.facebook.com/681888940617724/videos/741582335307822","1627804834169159_1228749189265027","1","0","0"
"611932","2025-08-15","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/16 03:20蓮花","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/1149539080555609
https://www.facebook.com/reel/775462745408221/
https://www.facebook.com/reel/1889423101990772/
https://www.facebook.com/reel/1178378350494273/","1627804834169159_1227331339406812
1627804834169159_1250302367109709
1627804834169159_1281002620706350
1627804834169159_1323504709789474","128","110","5000"
"611846","2025-08-15","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/15 19:30","1","影片","https://www.facebook.com/681888940617724/videos/1245556267316744","1627804834169159_1227276826078930","62","0","0"
"611823","2025-08-15","Instagram","tzgems1111","POST 2025/08/15 18:56","1","Reel","https://www.instagram.com/reel/DNX7XWkPZe7/","18090903118663729","283","0","0"
"611662","2025-08-15","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","(皇冠)祖母綠戒指👩‍👧 母女對戒","3","影片 / Reel","https://www.facebook.com/681888940617724/videos/1417784432854556
https://www.facebook.com/reel/821810973622479/
https://www.facebook.com/reel/32492389453737844/","1627804834169159_1227219979417948
1627804834169159_1262999592506653
1627804834169159_1306824004790878","2","0","0"
"611617","2025-08-14","Instagram","tzgems1111","POST 2025/08/14 21:46馬來西亞","1","Reel","https://www.instagram.com/reel/DNVcpGHPorJ/","18121631818480882","0","0","0"
"611487","2025-08-14","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","18K真鑽 海藍寶手鍊&耳釘","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/639677012021514
https://www.facebook.com/reel/2000099217406449/
https://www.facebook.com/reel/4044186299178379/
https://www.facebook.com/reel/797112813352096/","1627804834169159_1226311686175444
1627804834169159_1262111322595480
1627804834169159_1305843341555611
1627804834169159_1353163546823590","79","0","0"
"610933","2025-08-13","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","小資珠寶 寵粉EP.1 心型托帕石","3","影片 / Reel","https://www.facebook.com/681888940617724/videos/1436734770923676
https://www.facebook.com/reel/1901333877430638/
https://www.facebook.com/reel/1539367313748598/","1627804834169159_1225438126262800
1627804834169159_1261168579356421
1627804834169159_1304909504982328","72","0","0"
"610598","2025-08-12","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","🌸風信子石&💚透輝石(裸石)","3","影片 / Reel","https://www.facebook.com/681888940617724/videos/1101862824643143
https://www.facebook.com/reel/772631458740452/
https://www.facebook.com/reel/1337235887539556/","1627804834169159_1224612816345331
1627804834169159_1260280946111851
1627804834169159_1303967451743200","187","0","0"
