date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-08,1298069738321853,fb,5017,4869,3,72,1,37
2026-05-08,1227153256163261,fb,7424,7750,166,81,1,62
2026-05-08,967046245934064,fb,20489,21670,5,437,6,55
2026-05-08,1269195391966710,fb,7565,7791,0,112,2,40
2026-05-08,1769058097811088,fb,38098,37982,1195,777,6,77
2026-05-08,842634435371875,fb,18722,19432,502,327,3,72
2026-05-08,950364297880185,fb,9356,9133,133,133,0,58
2026-05-08,867735193013841,fb,223699,255716,36,2414,19,60
2026-05-08,769488392912429,fb,6635,6679,251,107,0,67
2026-05-08,1544936643722271,fb,5882,6044,85,76,2,53
2026-05-08,1730299787955983,fb,10982,10930,0,127,3,46
2026-05-08,719970347845701,fb,23720,25960,12,360,6,60
2026-05-08,1624311645498383,fb,20645,24196,4,275,2,52
2026-05-08,1483391286500545,fb,40526,39966,382,618,23,58
2026-05-08,1299817488878471,fb,4800,4924,38,29,0,34
2026-05-08,1005268672175562,fb,5951,6181,89,59,0,53
2026-05-08,796937846629959,fb,16335,17110,1,310,1,47
2026-05-08,1130282035930544,fb,13178,13835,6,231,4,54
2026-05-08,2083101712639031,fb,19012,22342,3,265,1,50
2026-05-08,955314570685700,fb,2945,2976,2,55,0,26
2026-05-08,1934017617248107,fb,4217,4299,8,94,3,42
2026-05-08,1700950354372275,fb,7298,7698,25,154,7,59
2026-05-08,1878143446220097,fb,6554,6988,93,105,3,55
2026-05-08,1353928069903141,fb,4086,4203,5,111,0,33
2026-05-08,1462435125101204,fb,13822,14069,0,149,0,45
2026-05-08,2027719584763163,fb,8635,8791,129,181,5,62
2026-05-08,860368276317988,fb,33846,34544,4,508,29,63
2026-05-08,1267430578879497,fb,2209,2141,0,55,2,23
2026-05-08,2744523959238602,fb,4293,4389,48,111,2,40
2026-05-08,1647132799664170,fb,3422,3460,0,68,1,22
2026-05-08,1973217906895873,fb,4225,4142,33,94,0,30
2026-05-08,1536080201282985,fb,7838,8071,203,183,0,50
2026-05-08,1312907507434093,fb,22533,21373,0,340,51,66
2026-05-08,1841116836557541,fb,802,709,8,18,1,0
2026-05-08,976175788228834,fb,1131,1115,0,26,4,0
2026-05-08,2051659405765342,fb,989,936,0,16,0,0
2026-05-08,964537213107656,fb,952,695,35,27,0,0
2026-05-08,990385046897065,fb,1282,1229,0,27,0,0
2026-05-08,1907964949918696,fb,204,0,0,0,0,0
2026-05-08,1448111353822208,fb,2239,1399,81,47,1,51
